Treat,Rep,Block,Day,IniTopAd,IniTopNym,IniBotAd,IniBotNym,Adtot,Nymtot,Poptot,Popred,divmeans,popDt
PTPT,6,1,6,16,30,6,26,11,269,280,96.5,292.5384615,-0.042860899
C,1,2,2,19,4,2,23,22,147,169,-8,172,-0.01744186
HCHC,1,2,2,23,29,2,12,19,93,112,49,124.25,-0.098591549
HCC7,1,2,2,14,19,6,12,9,87,96,65,116.5,-0.175965665
HCPT,1,2,2,19,21,3,17,15,75,90,71,144.8173077,-0.378527322
C7C7,1,2,2,16,24,3,12,10,94,104,57,108.75,-0.043678161
C7PT,1,2,2,13,20,7,6,17,72,89,72,137.0673077,-0.350683971
PTPT,1,2,2,16,13,6,18,21,113,134,27,165.3846154,-0.189767442
C,2,2,2,20,18,1,0,22,131,153,8,172,-0.110465116
HCHC,2,2,2,20,28,2,5,11,64,75,86,124.25,-0.39637827
HCC7,2,2,2,19,19,1,14,7,31,38,123,116.5,-0.673819742
HCPT,2,2,2,17,22,2,16,12,96,108,53,144.8173077,-0.254232787
C7C7,2,2,2,17,18,6,25,16,94,110,51,108.75,0.011494253
C7PT,2,2,2,18,32,3,8,22,119,141,20,137.0673077,0.028691687
PTPT,2,2,2,17,22,5,12,20,120,140,21,165.3846154,-0.153488372
C,3,2,2,20,25,3,14,16,174,190,-29,172,0.104651163
HCHC,3,2,2,18,31,4,15,14,84,98,63,124.25,-0.211267606
HCC7,3,2,2,21,22,1,7,15,71,86,75,116.5,-0.261802575
HCPT,3,2,2,20,33,1,5,18,105,123,38,144.8173077,-0.150654007
C7C7,3,2,2,14,22,5,24,17,97,114,47,108.75,0.048275862
C7PT,3,2,2,14,39,10,17,14,79,93,68,137.0673077,-0.321501228
PTPT,3,2,2,18,26,3,9,20,141,161,0,165.3846154,-0.026511628
C,4,2,2,17,18,5,7,20,110,130,31,172,-0.244186047
HCHC,4,2,2,20,26,4,8,15,88,103,58,124.25,-0.171026157
HCC7,4,2,2,20,22,2,9,17,82,99,62,116.5,-0.150214592
HCPT,4,2,2,12,22,9,23,16,115,131,30,144.8173077,-0.095411991
C7C7,4,2,2,16,26,4,11,8,23,31,130,108.75,-0.714942529
C7PT,4,2,2,17,35,3,12,5,18,23,138,137.0673077,-0.832199228
PTPT,4,2,2,22,37,1,6,18,94,112,49,165.3846154,-0.322790698
C,5,2,2,22,25,3,11,22,147,169,-8,172,-0.01744186
HCHC,5,2,2,19,28,3,9,11,141,152,9,124.25,0.22334004
HCC7,5,2,2,19,18,5,5,2,20,22,139,116.5,-0.811158798
HCPT,5,2,2,20,24,3,11,16,160,176,-15,144.8173077,0.215324348
C7C7,5,2,2,21,27,3,9,17,135,152,9,108.75,0.397701149
C7PT,5,2,2,20,25,1,0,18,148,166,-5,137.0673077,0.21108383
PTPT,5,2,2,21,43,3,1,28,177,205,-44,165.3846154,0.239534884
C,6,2,2,20,30,4,13,21,134,155,6,172,-0.098837209
HCHC,6,2,2,24,67,1,6,14,118,132,29,124.25,0.062374245
HCPT,6,2,2,21,40,2,16,24,113,137,24,144.8173077,-0.053980479
C7C7,6,2,2,20,11,3,10,8,22,30,131,108.75,-0.724137931
C7PT,6,2,2,19,25,3,2,5,39,44,117,137.0673077,-0.678989828
PTPT,6,2,2,21,23,4,21,26,207,233,-72,165.3846154,0.408837209
HCC7,7,2,2,25,26,0,3,14,125,139,22,116.5,0.193133047
C7PT,7,2,2,22,14,1,11,14,109,123,38,137.0673077,-0.102630656
PTPT,7,2,2,24,25,1,12,23,145,168,-7,165.3846154,0.015813953
HCPT,7,2,2,19,15,4,8,18,92,110,51,144.8173077,-0.240422283
C,1,2,4,19,4,2,23,22,305,327,-166,265,0.233962264
HCHC,1,2,4,23,29,2,12,7,138,145,16,124.9166667,0.160773849
HCC7,1,2,4,14,19,6,12,4,95,99,62,120.4166667,-0.177854672
HCPT,1,2,4,19,21,3,17,11,126,137,24,175.4583333,-0.219187841
C7C7,1,2,4,16,24,3,12,6,144,150,11,115.9166667,0.29403307
C7PT,1,2,4,13,20,7,6,4,123,127,34,170.9583333,-0.25712893
PTPT,1,2,4,16,13,6,18,16,187,203,-42,226,-0.101769912
C,2,2,4,20,18,1,0,15,275,290,-18.33333333,265,0.094339623
HCHC,2,2,4,20,28,2,5,6,118,124,147.6666667,124.9166667,-0.007338225
HCC7,2,2,4,19,19,1,14,1,37,38,233.6666667,120.4166667,-0.684429066
HCPT,2,2,4,17,22,2,16,13,186,199,72.66666667,175.4583333,0.134172406
C7C7,2,2,4,17,18,6,25,3,99,102,169.6666667,115.9166667,-0.120057513
C7PT,2,2,4,18,32,3,8,16,195,211,60.66666667,170.9583333,0.234218864
PTPT,2,2,4,17,22,5,12,21,339,360,-88.33333333,226,0.592920354
C,3,2,4,20,25,3,14,13,274,287,-15.33333333,265,0.083018868
HCHC,3,2,4,18,31,4,15,9,125,134,137.6666667,124.9166667,0.072715143
HCC7,3,2,4,21,22,1,7,5,128,133,138.6666667,120.4166667,0.10449827
HCPT,3,2,4,20,33,1,5,11,155,166,105.6666667,175.4583333,-0.053906435
C7C7,3,2,4,14,22,5,24,6,152,158,113.6666667,115.9166667,0.363048167
C7PT,3,2,4,14,39,10,17,3,18,21,250.6666667,170.9583333,-0.877163051
PTPT,3,2,4,18,26,3,9,12,213,225,46.66666667,226,-0.004424779
C,4,2,4,17,18,5,7,14,224,238,33.66666667,265,-0.101886792
HCHC,4,2,4,20,26,4,8,8,160,168,103.6666667,124.9166667,0.344896598
HCC7,4,2,4,20,22,2,9,8,114,122,149.6666667,120.4166667,0.013148789
HCPT,4,2,4,12,22,9,23,11,137,148,123.6666667,175.4583333,-0.156494894
C7C7,4,2,4,16,26,4,11,2,16,18,253.6666667,115.9166667,-0.844716032
C7PT,4,2,4,17,35,3,12,2,43,45,226.6666667,170.9583333,-0.736777967
PTPT,4,2,4,22,37,1,6,9,64,73,198.6666667,226,-0.67699115
C,5,2,4,22,25,3,11,13,238,251,20.66666667,265,-0.052830189
HCHC,5,2,4,19,28,3,9,3,60,63,208.6666667,124.9166667,-0.495663776
HCC7,5,2,4,19,18,5,5,1,5,6,265.6666667,120.4166667,-0.95017301
HCPT,5,2,4,20,24,3,11,13,146,159,112.6666667,175.4583333,-0.093801947
C7C7,5,2,4,21,27,3,9,4,81,85,186.6666667,115.9166667,-0.266714594
C7PT,5,2,4,20,25,1,0,9,84,93,178.6666667,170.9583333,-0.456007799
PTPT,5,2,4,21,43,3,1,19,226,245,26.66666667,226,0.084070796
C,6,2,4,20,30,4,13,16,221,237,34.66666667,265,-0.105660377
HCHC,6,2,4,24,67,1,6,1,17,18,253.6666667,124.9166667,-0.855903936
HCC7,6,2,4,16,28,8,35,5,49,54,217.6666667,120.4166667,-0.551557094
HCPT,6,2,4,21,40,2,16,12,167,179,92.66666667,175.4583333,0.020185229
C7C7,6,2,4,20,11,3,10,1,12,13,258.6666667,115.9166667,-0.887850467
C7PT,6,2,4,19,25,3,2,1,28,29,242.6666667,170.9583333,-0.830368023
PTPT,6,2,4,21,23,4,21,15,274,289,-17.33333333,226,0.278761062
C7PT,7,2,4,22,14,1,11,8,83,91,180.6666667,170.9583333,-0.467706556
PTPT,7,2,4,24,25,1,12,18,173,191,80.66666667,226,-0.154867257
HCPT,7,2,4,19,15,4,8,11,138,149,122.6666667,175.4583333,-0.150795535
C,1,2,6,19,4,2,23,24,419,443,-112,353.75,0.25229682
HCHC,1,2,6,23,29,2,12,2,111,113,218,116.0833333,-0.026561378
HCC7,1,2,6,14,19,6,12,6,61,67,264,120.2083333,-0.442634315
HCPT,1,2,6,19,21,3,17,8,139,147,184,204.3108974,-0.280508275
C7C7,1,2,6,16,24,3,12,2,125,127,204,124.3333333,0.021447721
C7PT,1,2,6,13,20,7,6,6,100,106,225,208.4358974,-0.491450363
PTPT,1,2,6,16,13,6,18,18,336,354,-23,292.5384615,0.210097292
C,2,2,6,20,18,1,0,16,348,364,-33,353.75,0.028975265
