Treat,Rep,Block,Day,IniTopAd,IniTopNym,IniBotAd,IniBotNym,A1TopAd,A1TopNym,A1BotAd,A1BotNym,A2TopAd,A2TopNym,A2BotAd,A2BotNym,A3TopAd,A3TopNym,A3BotAd,A3BotNym,B1TopAd,B1TopNym,B1BotAd,B1BotNym,B2TopAd,B2TopNym,B2BotAd,B2BotNym,B3TopAd,B3TopNym,B3BotAd,B3BotNym,C1TopAd,C1TopNym,C1BotAd,C1BotNym,C2TopAd,C2TopNym,C2BotAd,C2BotNym,C3TopAd,C3TopNym,C3BotAd,C3BotNym,Adtot,Nymtot,Poptot,IGR,Popred,propcol,nymchange,adjrepro,adtop,nymtop,addist,nymdist,centtot,centprop
HCPT,2,1,4,22,46,4,29,3,10,0,2,1,5,0,0,1,19,0,4,3,20,0,0,0,101,0,0,2,17,0,4,1,18,0,5,1,1,0,2,1,0,0,3,13,211,224,8.115384615,27.16666,1,34,2.615384615,1,0.90521327,23.82153846,12.82028436,101,0.450892857
C7C7,2,1,4,12,30,9,56,1,7,1,3,0,8,0,9,2,8,0,4,1,10,2,8,1,67,0,33,2,7,0,2,2,23,0,2,1,1,0,3,1,6,0,4,14,205,219,9.761904762,33.16666,1,52,3.714285714,0.785714286,0.668292683,22.71142857,12.54614634,101,0.461187215
C7PT,2,1,4,8,14,9,26,1,3,0,0,0,1,0,0,0,8,0,0,0,1,0,0,0,31,0,0,0,6,0,0,4,30,0,0,3,35,0,1,1,26,0,2,9,144,153,8.470588235,94.16666,1,42,4.666666667,1,0.979166667,25.52,19.66194444,31,0.202614379
PTPT,2,1,4,11,24,6,14,4,37,0,2,0,9,1,2,1,11,0,3,1,28,0,0,3,55,0,40,0,0,0,0,2,24,0,4,2,21,0,0,2,24,2,2,18,262,280,15.41176471,-23.83334,0.888888889,100,5.555555556,0.833333333,0.797709924,21.72666667,16.12961832,98,0.35
C,3,1,4,18,34,5,35,2,14,0,3,4,19,0,0,0,0,0,4,1,6,0,7,2,57,0,52,0,6,0,8,2,18,1,7,0,2,1,10,5,36,9,6,27,255,282,11.08695652,-16.83334,1,69,2.555555556,0.592592593,0.619607843,24.34518519,14.30839216,111,0.393617021
HCHC,3,1,4,17,46,4,17,0,4,0,1,0,0,0,2,2,11,0,0,3,27,0,3,0,59,0,12,0,0,0,2,1,25,0,0,3,23,0,3,1,12,0,1,10,185,195,8.80952381,53.16666,1,54,5.4,1,0.87027027,23.312,14.74118919,71,0.364102564
HCC7,3,1,4,17,35,6,25,1,1,0,1,0,1,0,1,1,6,0,2,1,0,0,0,1,95,0,0,1,2,0,0,1,10,1,9,2,16,0,5,2,11,0,4,11,164,175,7.130434783,74.16666,1,51,4.636363636,0.909090909,0.865853659,22.69818182,10.63609756,96,0.548571429
HCPT,3,1,4,9,26,12,48,0,6,1,2,1,4,0,0,1,13,0,0,1,7,0,0,1,79,1,54,2,12,1,3,1,9,0,6,2,9,0,2,2,18,0,2,14,226,240,10.76190476,12.16666,1,49,3.5,0.785714286,0.694690265,20.1,10.28176991,135,0.5625
C7C7,3,1,4,13,27,10,36,2,0,0,0,3,14,0,4,0,1,0,2,2,14,0,0,3,73,0,4,0,2,0,4,0,7,0,0,0,0,0,5,5,12,1,0,16,142,158,6.173913043,96.16666,1,98,6.125,0.9375,0.866197183,20.39,10.43774648,80,0.506329114
C7PT,3,1,4,14,30,8,34,0,0,0,0,0,0,1,0,0,6,1,2,0,6,0,0,2,52,0,1,1,12,0,7,1,11,0,0,2,0,0,7,1,0,0,0,9,104,113,4.727272727,134.16666,0.888888889,-28,-3.111111111,0.777777778,0.836538462,18.31555556,11.32038462,55,0.486725664
