Treat,Rep,Block,Day,IniTopAd,IniTopNym,IniBotAd,IniBotNym,A1TopAd,A1TopNym,A1BotAd,A1BotNym,A2TopAd,A2TopNym,A2BotAd,A2BotNym,A3TopAd,A3TopNym,A3BotAd,A3BotNym,B1TopAd,B1TopNym,B1BotAd,B1BotNym,B2TopAd,B2TopNym,B2BotAd,B2BotNym,B3TopAd,B3TopNym,B3BotAd,B3BotNym,C1TopAd,C1TopNym,C1BotAd,C1BotNym,C2TopAd,C2TopNym,C2BotAd,C2BotNym,C3TopAd,C3TopNym,C3BotAd,C3BotNym,Adtot,Nymtot,Poptot,IGR,Popred,propcol,nymchange,adjrepro,adtop,nymtop,addist,nymdist,centtot,centprop
C7C7,1,2,4,16,24,3,12,0,0,0,0,0,0,0,0,2,10,0,0,1,18,0,0,0,102,0,4,1,4,0,0,0,0,0,0,2,5,0,0,0,0,0,1,6,144,150,7.578947368,121.6666667,0.666666667,50,8.333333333,1,0.965277778,22.76,5.910277778,106,0.706666667
C7PT,1,2,4,13,20,7,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,120,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,123,127,6.15,144.6666667,0.444444444,51,12.75,0.75,0.991869919,17.07,0.459837398,122,0.960629921
PTPT,1,2,4,16,13,6,18,0,1,0,0,7,38,0,1,0,9,0,0,0,0,1,0,3,84,0,25,0,4,0,1,4,19,0,0,0,0,0,0,1,5,0,0,16,187,203,8.5,68.66666666,0.888888889,74,4.625,0.9375,0.855614973,18.8375,9.847700535,112,0.551724138
C,2,2,4,20,18,1,0,2,18,0,3,0,2,0,1,6,35,0,7,1,13,0,4,0,125,0,14,0,15,0,1,2,12,0,1,2,8,0,0,2,13,0,3,15,275,290,13.0952381,-18.33333334,1,144,9.6,1,0.876363636,26.624,12.66094545,139,0.479310345
HCHC,2,2,4,20,28,2,5,0,11,0,1,0,0,0,3,3,19,0,1,1,0,0,0,0,11,0,3,1,2,0,0,0,0,0,2,1,26,0,0,0,37,0,2,6,118,124,5.363636364,147.6666667,1,54,9,1,0.898305085,24.14,22.74949153,14,0.112903226
HCC7,2,2,4,19,19,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,5,0,0,1,37,38,1.85,233.6666667,0.333333333,6,6,1,0.972972973,20,7.605405405,25,0.657894737
HCPT,2,2,4,17,22,2,16,1,5,0,0,1,3,0,1,1,0,0,1,0,0,0,4,3,131,0,7,2,2,0,6,1,6,0,0,3,11,0,2,0,7,1,0,13,186,199,9.789473684,72.66666666,1,90,6.923076923,0.923076923,0.887096774,17.93230769,6.007096774,141,0.708542714
C7C7,2,2,4,17,18,6,25,1,5,0,0,1,14,0,0,0,0,0,0,0,4,0,0,0,65,0,0,0,0,0,0,1,10,0,0,0,1,0,0,0,0,0,0,3,99,102,4.304347826,169.6666667,0.666666667,5,1.666666667,1,1,25.52,8.123232323,65,0.637254902
C7PT,2,2,4,18,32,3,8,1,0,0,0,1,12,0,3,0,1,0,1,0,7,0,0,3,119,0,14,1,4,0,2,2,0,0,0,1,1,1,1,5,25,1,5,16,195,211,9.285714286,60.66666666,1,76,4.75,0.875,0.866666667,20.9075,7.71774359,136,0.644549763
PTPT,2,2,4,17,22,5,12,3,19,0,3,2,10,1,3,1,3,1,0,3,18,0,1,0,184,0,50,0,2,0,0,3,10,0,4,2,11,0,0,4,21,1,0,21,339,360,15.40909091,-88.33333334,1,219,10.42857143,0.857142857,0.820058997,25.12571429,7.660176991,234,0.65
C,3,2,4,20,25,3,14,0,3,0,0,1,4,0,3,4,22,0,10,2,32,0,2,1,97,0,44,0,20,0,5,1,8,0,0,2,11,0,0,2,11,0,2,13,274,287,11.91304348,-15.33333334,1,100,7.692307692,1,0.759124088,22.92,11.40029197,142,0.494773519
HCHC,3,2,4,18,31,4,15,0,0,0,0,1,5,0,0,0,0,1,1,0,2,0,0,3,68,0,2,1,11,0,3,1,4,0,0,0,4,0,0,2,25,0,0,9,125,134,5.681818182,137.6666667,0.888888889,41,4.555555556,0.888888889,0.952,17.01333333,10.7872,73,0.544776119
HCC7,3,2,4,21,22,1,7,1,2,0,0,0,13,0,0,1,7,0,1,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,25,0,2,5,128,133,5.818181818,138.6666667,0.666666667,57,11.4,1,0.9765625,26.624,10.2059375,78,0.586466165
HCPT,3,2,4,20,33,1,5,1,3,0,0,0,1,0,1,2,1,0,0,1,10,0,0,0,79,0,3,2,10,0,0,0,3,0,0,1,3,0,0,4,40,0,1,11,155,166,7.380952381,105.6666667,1,50,4.545454545,1,0.967741935,25.26909091,11.98348387,82,0.493975904
C7C7,3,2,4,14,22,5,24,2,3,0,0,0,6,0,0,0,0,0,0,0,2,0,0,1,127,0,5,0,7,0,0,3,0,0,0,0,0,0,0,0,2,0,0,6,152,158,8,113.6666667,0.777777778,55,9.166666667,1,0.967105263,23.56666667,2.903947368,133,0.841772152
C7PT,3,2,4,14,39,10,17,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,1,4,0,0,0,1,0,0,3,18,21,0.75,250.6666667,0.555555556,-61,-20.33333333,1,1,22.76,16.55333333,6,0.285714286
PTPT,3,2,4,18,26,3,9,4,16,0,1,0,14,0,0,0,0,1,3,0,0,0,2,3,93,0,37,1,7,0,4,3,7,0,9,0,0,0,1,0,18,0,1,12,213,225,10.14285714,46.66666666,1,72,6,0.916666667,0.727699531,20.52,9.931455399,133,0.591111111
C,4,2,4,17,18,5,7,0,1,0,0,1,19,0,1,2,9,0,0,0,1,0,1,4,131,0,35,1,1,1,6,1,3,0,0,2,7,1,5,1,2,0,2,14,224,238,10.18181818,33.66666666,1,114,8.142857143,0.857142857,0.776785714,16.65142857,5.806964286,170,0.714285714
HCHC,4,2,4,20,26,4,8,0,2,1,3,0,0,0,0,2,9,1,0,0,0,0,0,1,120,0,1,1,5,0,2,1,3,0,1,0,13,0,0,1,1,0,0,8,160,168,6.666666667,103.6666667,0.777777778,72,9,0.75,0.95625,23.71,5.85825,122,0.726190476
HCC7,4,2,4,20,22,2,9,0,1,0,1,0,7,0,1,1,10,0,2,1,5,0,2,3,74,0,1,1,2,0,0,0,0,0,0,1,0,0,0,1,8,0,0,8,114,122,5.181818182,149.6666667,0.888888889,32,4,1,0.938596491,14.57,8.44,78,0.639344262
HCPT,4,2,4,12,22,9,23,1,5,0,0,1,5,0,0,0,8,0,1,0,0,0,3,3,81,0,2,1,10,1,4,0,0,0,1,0,1,0,1,3,13,1,2,11,137,148,6.523809524,123.6666667,1,22,2,0.818181818,0.897810219,18.30909091,9.696350365,86,0.581081081
C7C7,4,2,4,16,26,4,11,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,7,0,0,2,16,18,0.8,253.6666667,0.444444444,-7,-3.5,0.5,1,24.14,27.7625,0,0
C7PT,4,2,4,17,35,3,12,0,0,0,0,0,0,0,0,0,17,0,1,2,7,0,0,0,1,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,3,0,0,2,43,45,2.15,226.6666667,0.666666667,25,12.5,1,0.976744186,20,26.08186047,1,0.022222222
PTPT,4,2,4,22,37,1,6,1,5,2,9,0,7,0,6,1,5,2,2,0,1,0,4,1,1,0,0,0,0,1,9,0,1,0,4,0,2,0,2,0,1,1,5,9,64,73,2.782608696,198.6666667,1,-30,-3.333333333,0.333333333,0.359375,24.21777778,23.8275,2,0.02739726
C,5,2,4,22,25,3,11,2,7,0,0,4,22,1,0,0,4,0,1,1,3,0,3,0,131,0,27,0,0,0,0,2,8,0,0,1,10,0,0,2,22,0,0,13,238,251,9.52,20.66666666,0.888888889,91,7,0.923076923,0.869747899,23.82153846,8.183865546,158,0.629482072
HCHC,5,2,4,19,28,3,9,1,9,0,0,0,5,0,0,0,1,0,0,0,2,0,0,0,6,0,0,0,7,0,0,1,5,0,0,0,1,0,1,1,23,0,0,3,60,63,2.727272727,208.6666667,1,-81,-27,1,0.983333333,28.28,23.244,6,0.095238095
HCC7,5,2,4,19,18,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,5,6,0.208333333,265.6666667,0.333333333,-15,-15,1,0.8,20,21.656,0,0
HCPT,5,2,4,20,24,3,11,1,11,0,0,0,7,0,2,2,3,0,0,0,1,0,0,3,88,0,4,0,2,0,0,1,3,0,1,2,6,0,2,4,10,0,6,13,146,159,6.347826087,112.6666667,1,-14,-1.076923077,1,0.897260274,20.48,9.325479452,95,0.597484277
C7C7,5,2,4,21,27,3,9,1,4,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,61,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,2,0,0,4,81,85,3.375,186.6666667,0.666666667,-54,-13.5,1,1,26.21,6.267160494,61,0.717647059
C7PT,5,2,4,20,25,1,0,0,0,0,1,1,0,0,0,1,8,0,7,0,2,0,11,0,3,0,0,1,5,0,3,0,0,0,0,2,18,0,6,4,18,0,2,9,84,93,4,178.6666667,0.888888889,-64,-7.111111111,1,0.642857143,24.6,22.83428571,3,0.032258065
PTPT,5,2,4,21,43,3,1,5,37,0,5,1,7,0,2,0,0,1,0,2,15,0,1,0,86,0,8,1,9,0,1,3,16,0,0,4,9,1,4,1,19,0,7,19,226,245,9.416666667,26.66666666,1,49,2.578947368,0.894736842,0.876106195,24.35789474,14.75893805,94,0.383673469
C,6,2,4,20,30,4,13,0,1,0,0,0,0,0,0,1,5,2,2,0,0,0,1,4,137,2,39,2,11,1,5,2,0,0,0,0,9,0,4,1,3,1,4,16,221,237,9.208333333,34.66666666,0.888888889,87,5.4375,0.625,0.751131222,16.1225,4.63438914,182,0.767932489
HCHC,6,2,4,24,67,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,14,0,0,1,17,18,0.68,253.6666667,0.333333333,-101,-101,1,0.941176471,28.28,24.46588235,2,0.111111111
HCC7,6,2,4,16,28,8,35,0,12,0,0,1,8,1,0,2,16,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,5,49,54,2.041666667,217.6666667,0.888888889,-70,-14,0.8,0.959183673,24.968,21.39591837,9,0.166666667
HCPT,6,2,4,21,40,2,16,2,8,0,1,0,0,0,0,1,11,0,1,4,30,0,4,2,88,0,3,0,2,0,0,0,0,0,0,1,4,0,0,2,11,0,4,12,167,179,7.260869565,92.66666666,0.777777778,54,4.5,1,0.922155689,20.11666667,10.88670659,93,0.519553073
C7C7,6,2,4,20,11,3,10,0,0,0,0,0,5,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,13,0.52173913,258.6666667,0.666666667,-10,-10,0,0.916666667,28.28,19.71333333,1,0.076923077
C7PT,6,2,4,19,25,3,2,1,14,0,0,0,9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,28,29,1.272727273,242.6666667,0.444444444,-11,-11,1,0.928571429,28.28,25.02714286,0,0
PTPT,6,2,4,21,23,4,21,1,9,0,1,0,5,0,2,1,31,0,11,1,0,0,0,2,91,0,47,4,26,0,0,1,3,1,7,0,6,0,0,4,31,0,4,15,274,289,10.96,-17.33333334,1,67,4.466666667,0.933333333,0.737226277,21.74933333,12.85824818,140,0.484429066
C7PT,7,2,4,22,14,1,11,0,1,0,5,3,10,0,4,1,5,0,2,0,0,0,6,0,9,0,10,0,3,0,7,1,1,0,3,1,4,0,3,1,3,1,7,8,83,91,3.608695652,180.6666667,1,-26,-3.25,0.875,0.43373494,24.14,18.11518072,19,0.208791209
PTPT,7,2,4,24,25,1,12,1,5,1,1,1,4,1,4,5,5,0,1,1,2,0,0,1,103,0,29,0,1,0,0,2,1,0,0,2,12,1,2,2,2,0,1,18,173,191,6.92,80.66666666,1,28,1.555555556,0.833333333,0.780346821,23.94888889,5.50566474,133,0.696335079
HCPT,7,2,4,19,15,4,8,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,92,1,14,1,4,0,0,1,9,0,0,2,12,0,2,1,2,0,1,11,138,149,6,122.6666667,0.888888889,46,4.181818182,0.909090909,0.869565217,17.55636364,5.477681159,109,0.731543624
C,1,2,6,19,4,2,23,3,28,1,4,0,23,0,3,1,46,0,7,0,1,0,5,3,132,0,28,3,20,2,12,3,10,0,5,2,43,1,6,3,41,2,5,24,419,443,19.95238095,-112,1,114,4.75,0.75,0.821002387,21.985,15.24792363,163,0.367945824
HCHC,1,2,6,23,29,2,12,1,10,0,0,0,7,0,0,0,11,0,0,0,1,0,0,1,27,0,5,0,12,0,1,0,7,0,0,0,17,0,2,0,11,0,0,2,111,113,4.44,218,1,-27,-13.5,1,0.927927928,14.14,17.14342342,33,0.292035398
HCC7,1,2,6,14,19,6,12,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,2,6,0,2,1,9,0,3,0,1,0,0,0,2,1,2,2,29,0,0,6,61,67,3.05,264,0.888888889,-34,-5.666666667,0.833333333,0.868852459,16.09333333,21.72065574,10,0.149253731
HCPT,1,2,6,19,21,3,17,0,0,0,4,0,0,0,1,0,4,0,7,0,0,0,0,1,44,0,2,1,11,0,0,1,4,0,0,0,4,1,5,3,45,1,8,8,139,147,6.318181818,184,0.888888889,13,1.625,0.75,0.805755396,22.675,17.67021583,47,0.319727891
C7C7,1,2,6,16,24,3,12,0,1,0,2,0,1,0,1,1,17,0,0,0,1,0,1,1,96,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,125,127,6.578947368,204,0.777777778,-19,-9.5,1,0.952,14.14,6.03104,97,0.763779528
C7PT,1,2,6,13,20,7,6,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,82,0,3,0,1,0,0,0,0,0,0,1,5,0,0,1,4,0,1,6,100,106,5,225,0.777777778,-23,-3.833333333,1,0.96,12.76,3.6624,88,0.830188679
PTPT,1,2,6,16,13,6,18,1,3,1,12,2,43,2,4,4,38,0,2,0,6,0,4,0,106,1,37,1,7,0,3,3,40,0,4,1,2,0,2,1,17,1,6,18,336,354,15.27272727,-23,1,149,8.277777778,0.722222222,0.779761905,23.94888889,14.49452381,144,0.406779661
C,2,2,6,20,18,1,0,3,32,0,3,3,16,0,2,0,45,0,3,0,24,1,7,1,123,1,14,1,20,1,0,3,25,0,1,1,13,0,1,1,18,0,1,16,348,364,16.57142857,-33,1,73,4.5625,0.8125,0.908045977,21.1225,15.17195402,139,0.381868132
HCHC,2,2,6,20,28,2,5,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,2,0,2,0,0,1,3,0,0,0,0,0,0,1,27,0,0,0,27,1,0,4,85,89,3.863636364,242,0.666666667,-33,-8.25,0.75,0.976470588,24.14,24.49741176,2,0.02247191
HCC7,2,2,6,19,19,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,1,0,0,0,0,0,0,0,0,1,10,0,0,0,5,0,0,1,35,36,1.75,295,0.444444444,-2,-2,1,0.971428571,20,10.32571429,19,0.527777778
HCPT,2,2,6,17,22,2,16,1,7,0,0,1,9,0,4,0,0,0,0,0,1,0,2,3,134,1,2,1,1,0,0,0,11,0,1,1,30,0,0,1,10,0,1,9,213,222,11.21052632,109,0.888888889,27,3,0.888888889,0.953051643,12.95111111,8.396244131,140,0.630630631
C7C7,2,2,6,17,18,6,25,0,0,0,2,0,11,0,0,0,1,0,0,0,0,0,1,0,63,0,0,0,0,0,0,2,19,0,0,0,1,0,0,0,0,0,0,2,98,100,4.260869565,231,0.777777778,-1,-0.5,1,0.969387755,28.28,9.001632653,63,0.63
C7PT,2,2,6,18,32,3,8,1,2,0,0,0,12,0,2,0,10,2,1,1,3,0,1,1,91,0,6,2,11,0,3,1,1,0,5,0,10,0,3,1,9,1,3,10,173,183,8.238095238,148,1,-22,-2.2,0.7,0.861271676,22.968,10.26982659,98,0.535519126
PTPT,2,2,6,17,22,5,12,3,21,0,8,2,11,0,0,0,0,0,0,0,28,1,4,0,92,0,33,0,9,0,0,4,20,0,0,3,16,0,1,3,21,0,0,16,264,280,12,51,0.888888889,-75,-4.6875,0.9375,0.825757576,25.175,12.72575758,125,0.446428571
C,3,2,6,20,25,3,14,3,12,0,2,1,10,0,1,4,27,0,23,0,29,0,0,1,95,0,36,0,10,0,6,2,8,0,4,2,14,0,0,1,16,0,0,14,293,307,12.73913043,24,1,19,1.357142857,1,0.754266212,24.48571429,13.65788396,132,0.429967427
HCHC,3,2,6,18,31,4,15,0,1,0,0,2,9,0,0,1,1,0,0,1,2,0,0,1,66,0,4,1,18,0,4,2,6,0,1,0,0,0,0,3,14,0,0,11,126,137,5.727272727,194,0.888888889,1,0.090909091,1,0.928571429,22.69818182,10.40031746,71,0.518248175
HCC7,3,2,6,21,22,1,7,0,2,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,53,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,78,79,3.545454545,252,0.666666667,-50,-50,1,0.987179487,28.28,7.896410256,53,0.670886076
HCPT,3,2,6,20,33,1,5,3,20,0,3,0,0,1,0,0,7,1,3,1,10,0,5,0,91,0,0,1,14,0,0,0,13,0,0,3,5,1,1,1,1,0,2,12,175,187,8.333333333,144,1,20,1.666666667,0.75,0.92,23.45,11.9184,91,0.486631016
C7C7,3,2,6,14,22,5,24,0,5,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,63,0,2,0,7,0,1,1,1,0,0,0,0,0,0,0,8,0,0,1,90,91,4.736842105,240,0.777777778,-62,-62,1,0.966666667,28.28,7.027555556,65,0.714285714
C7PT,3,2,6,14,39,10,17,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,10,31,41,1.291666667,290,0.555555556,13,1.3,1,0.967741935,22.484,20.93677419,6,0.146341463
PTPT,3,2,6,18,26,3,9,1,23,0,0,1,17,1,1,0,2,0,0,1,2,0,0,0,128,0,43,0,11,1,2,1,16,0,17,3,7,0,4,0,7,0,0,9,280,289,13.33333333,42,1,67,7.444444444,0.777777778,0.760714286,21.84,9.707857143,171,0.591695502
C,4,2,6,17,18,5,7,2,7,0,0,0,0,0,0,1,16,0,3,1,6,1,2,1,110,0,39,0,0,0,11,0,7,0,0,0,2,1,2,3,2,0,2,10,209,219,9.5,112,0.888888889,-15,-1.5,0.8,0.717703349,22.968,7.207464115,150,0.684931507
HCHC,4,2,6,20,26,4,8,1,1,0,0,1,2,0,0,1,17,0,0,0,0,0,0,0,78,0,9,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,125,128,5.208333333,203,0.666666667,-35,-11.66666667,1,0.928,25.52,7.27232,87,0.6796875
HCC7,4,2,6,20,22,2,9,0,0,0,0,1,4,0,0,0,6,0,2,0,1,0,0,1,57,0,4,0,0,0,0,1,2,0,0,0,4,0,0,1,13,0,0,4,93,97,4.227272727,234,0.777777778,-21,-5.25,1,0.935483871,19.14,8.929462366,62,0.639175258
HCPT,4,2,6,12,22,9,23,2,11,0,0,1,8,0,0,1,8,0,0,0,0,0,0,0,76,0,5,1,9,0,4,1,5,0,0,0,0,0,0,1,22,0,4,7,152,159,7.238095238,172,0.777777778,15,2.142857143,1,0.914473684,25.91428571,12.06578947,81,0.509433962
C7C7,4,2,6,16,26,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,13,13,0.65,318,0.333333333,-3,,,1,,27.64307692,0,0
C7PT,4,2,6,17,35,3,12,1,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,23,24,1.15,307,0.666666667,-20,-20,1,0.913043478,28.28,25.10086957,2,0.083333333
PTPT,4,2,6,22,37,1,6,0,0,1,1,1,6,0,3,1,3,1,6,0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,6,5,31,36,1.347826087,295,0.888888889,-33,-6.6,0.6,0.451612903,24.968,24.16258065,1,0.027777778
C,5,2,6,22,25,3,11,1,10,2,11,0,49,1,7,1,13,0,4,2,15,0,7,0,91,0,36,0,9,1,4,0,15,0,3,4,24,2,8,2,27,0,8,16,341,357,13.64,-26,1,103,6.4375,0.625,0.741935484,23.105,14.76093842,127,0.355742297
HCHC,5,2,6,19,28,3,9,0,10,0,0,0,5,0,0,1,6,0,0,0,3,0,1,0,5,0,2,0,9,0,0,1,17,0,0,0,1,0,2,0,29,1,0,3,90,93,4.090909091,238,1,30,10,0.666666667,0.944444444,28.28,24.14844444,7,0.075268817
HCC7,5,2,6,19,18,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,2,0,0,0,0,1,4,1,12,13,0.5,318,0.444444444,7,7,0,0.666666667,28.28,24.83,0,0
HCPT,5,2,6,20,24,3,11,1,28,0,2,0,7,0,7,3,8,0,1,1,0,0,9,0,77,0,16,3,14,0,1,0,7,0,3,2,8,0,2,0,33,0,7,10,230,240,10,91,1,84,8.4,1,0.791304348,23.312,15.11704348,93,0.3875
C7C7,5,2,6,21,27,3,9,1,9,0,0,1,14,0,2,0,0,0,0,0,5,0,0,0,98,0,3,0,5,0,0,2,19,0,0,0,0,0,0,0,6,0,0,4,161,165,6.708333333,166,0.777777778,80,20,1,0.968944099,26.21,9.201987578,101,0.612121212
C7PT,5,2,6,20,25,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,25,0,0,0,9,0,4,2,46,48,2.19047619,283,0.444444444,-38,-19,1,0.760869565,24.14,22.7,0,0
PTPT,5,2,6,21,43,3,1,4,50,0,0,1,17,1,2,2,1,0,0,2,17,0,6,1,91,0,18,0,12,0,3,3,32,1,11,1,9,0,2,2,26,0,12,18,309,327,12.875,4,1,83,4.611111111,0.888888889,0.825242718,24.40888889,16.4820712,110,0.336391437
C,6,2,6,20,30,4,13,1,4,0,0,3,12,0,2,0,5,0,6,0,4,0,7,1,130,0,41,1,17,1,4,0,9,0,0,1,18,1,5,0,12,1,10,10,286,296,11.91666667,35,1,65,6.5,0.7,0.737762238,19.656,9.373706294,172,0.581081081
HCHC,6,2,6,24,67,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,14,0,0,1,17,18,0.68,313,0.222222222,0,0,1,1,28.28,26.81882353,0,0
HCC7,6,2,6,16,28,8,35,0,0,0,0,1,26,0,1,1,33,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,0,1,4,75,79,3.125,252,0.555555556,26,6.5,1,0.973333333,19.14,23.0368,7,0.088607595
HCPT,6,2,6,21,40,2,16,1,21,0,0,0,3,0,2,1,14,3,6,3,50,0,5,1,141,0,13,0,2,0,5,0,0,0,2,1,2,0,4,0,0,0,1,10,271,281,11.7826087,50,1,104,10.4,0.7,0.859778598,22.14,9.97904059,155,0.551601423
C7C7,6,2,6,20,11,3,10,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0.913043478,310,0.444444444,9,,,1,,9.918095238,11,0.523809524
C7PT,6,2,6,19,25,3,2,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,14,0.636363636,317,0.444444444,-14,,,0.857142857,,25.32285714,0,0
PTPT,6,2,6,21,23,4,21,1,16,0,7,0,7,0,7,0,40,1,14,0,8,0,0,1,97,0,36,4,53,0,14,1,8,0,1,0,7,0,6,4,64,1,5,13,390,403,15.6,-72,1,116,8.923076923,0.846153846,0.769230769,23.55692308,16.47025641,134,0.332506203
C7PT,7,2,6,22,14,1,11,0,0,0,0,2,15,0,0,1,6,0,0,0,0,0,0,0,2,0,0,0,5,0,0,1,1,0,0,1,1,0,0,1,6,0,1,6,37,43,1.608695652,288,0.777777778,-46,-7.666666667,1,0.972972973,24.14,22.05189189,2,0.046511628
PTPT,7,2,6,24,25,1,12,2,12,0,14,1,6,0,7,5,16,0,5,1,2,2,12,3,108,0,19,0,3,0,2,2,5,0,4,2,22,0,0,2,10,0,0,20,247,267,9.88,64,1,74,3.7,0.9,0.744939271,21.554,11.92906883,130,0.486891386
HCPT,7,2,6,19,15,4,8,0,0,0,1,0,2,0,0,0,8,0,0,0,0,0,3,0,97,0,17,3,16,0,0,1,10,1,4,1,21,0,0,1,12,0,0,7,191,198,8.304347826,133,1,53,7.571428571,0.857142857,0.869109948,23.54857143,9.580104712,114,0.575757576
