"","Treat","HC","C7","PT","Rep","Block","Day","Adtot","Nymtot","Poptot","propcol","adtop","nymtop","addist","nymdist","centtot","centprop","totinf","propinf"
"91","Control",0,0,0,3,1,6,7,448,455,1,0.857142857,0.732142857,24.73142857,14.87678571,181,0.397802198,9,1
"92","HCHC",2,0,0,3,1,6,7,157,164,1,0.857142857,0.917197452,23.54857143,15.6922293,57,0.347560976,5,0.555555555555556
"93","HCC7",1,1,0,3,1,6,4,165,169,0.777777778,1,0.921212121,12.07,12.09333333,90,0.532544379,4,0.444444444444444
"94","HCPT",1,0,1,3,1,6,12,267,279,0.888888889,0.916666667,0.752808989,18.45,11.41003745,145,0.519713262,4,0.444444444444444
"95","C7C7",0,2,0,3,1,6,6,181,187,1,0.833333333,0.861878453,12.76,12.18629834,94,0.502673797,6,0.666666666666667
"96","C7PT",0,1,1,3,1,6,3,126,129,0.888888889,1,0.849206349,25.52,9.475238095,75,0.581395349,5,0.555555555555556
"97","PTPT",0,0,2,3,1,6,5,333,338,1,0.8,0.6996997,24.968,14.51459459,117,0.346153846,1,0.111111111111111
"98","Control",0,0,0,4,1,6,7,193,200,0.777777778,1,0.92746114,16.16,17.99398964,65,0.325,5,0.555555555555556
"99","HCHC",2,0,0,4,1,6,5,114,119,1,1,0.98245614,19.312,15.49438596,42,0.352941176,8,0.888888888888889
"100","HCC7",1,1,0,4,1,6,4,61,65,0.888888889,1,1,24.14,23.54163934,7,0.107692308,9,1
"101","HCPT",1,0,1,4,1,6,8,216,224,1,0.875,0.796296296,25.175,16.975,72,0.321428571,7,0.777777777777778
"102","C7C7",0,2,0,4,1,6,2,66,68,0.777777778,1,0.878787879,0,11.55757576,34,0.5,5,0.555555555555556
"103","C7PT",0,1,1,4,1,6,1,180,181,0.888888889,1,0.988888889,28.28,14.978,63,0.348066298,8,0.888888888888889
"104","Control",0,0,0,5,1,6,15,276,291,0.888888889,0.8,0.858695652,24.18666667,14.76637681,108,0.371134021,7,0.777777777777778
"105","HCHC",2,0,0,5,1,6,3,112,115,1,1,0.785714286,20,11.38642857,59,0.513043478,7,0.777777777777778
"106","HCC7",1,1,0,5,1,6,3,35,38,0.555555556,0.666666667,0.971428571,22.76,19.09371429,2,0.052631579,7,0.777777777777778
"107","HCPT",1,0,1,5,1,6,3,97,100,0.555555556,1,0.577319588,9.426666667,2.86556701,88,0.88,2,0.222222222222222
"108","C7C7",0,2,0,5,1,6,9,202,211,0.777777778,0.888888889,0.792079208,23.29777778,14.98316832,91,0.431279621,7,0.777777777777778
"109","C7PT",0,1,1,5,1,6,10,143,153,0.888888889,0.8,0.958041958,16.484,11.86041958,79,0.516339869,5,0.555555555555556
"110","PTPT",0,0,2,5,1,6,15,376,391,1,0.8,0.752659574,26.072,15.63617021,140,0.358056266,6,0.666666666666667
